Hebrew,Transliteration,Root,Meaning,Part of speech
מַלְכוּת,malchut,מ - ל - ך,kingdom; monarchy,"Noun –katlutpattern, feminine"
מַלְכָּה,malka,מ - ל - ך,queen,"Noun –katlapattern, feminine"
הַמְלָכָה,hamlacha,מ - ל - ך,"coronation, crowning","Noun –haktalapattern, feminine"
מְלוּכָה,melucha,מ - ל - ך,monarchy,"Noun –ktulapattern, feminine"
מִילּוֹן,milon,מ - ל - ל,dictionary,"Noun –kitlonpattern, masculine"
מִילָּה,mila,מ - ל - ל,word,"Noun –kitlapattern, feminine"
מֶלֶל,melel,מ - ל - ל,"words, text; idle chatter","Noun –ketelpattern, masculine"
תַּמְלִיל,tamlil,מ - ל - ל,"text, lyrics, libretto","Noun –taktilpattern, masculine"
הַמְלָצָה,hamlatza,מ - ל - ץ,recommendation,"Noun –haktalapattern, feminine"
מִימּוּן,mimun,מ - מ - ן,financing,"Noun –kittulpattern, masculine"
מִימּוּשׁ,mimush,מ - מ - שׁ,"realisation, implementation","Noun –kittulpattern, masculine"
מַמָּשׁ,mamash,מ - מ - שׁ,"reality, substance","Noun –kattalpattern, masculine"
מִנְחָה,mincha,מ - נ - ח,"gift, offering, sacrifice (flowery); mincha (afternoon prayer)","Noun –kitlapattern, feminine"
מִינּוּי,minuy,מ - נ - ה,"nomination, appointment; subscription","Noun –kittulpattern, masculine"
מְנָיָה,menaya,מ - נ - ה,"share (finance), stock","Noun –ktalapattern, feminine"
מָנוּי,manuy,מ - נ - ה,subscriber,"Noun –katulpattern, masculine"
מָנָה,mana,מ - נ - ה,"share, portion; dose; quotient (mathematics)","Noun –katalpattern, feminine"
מוֹנֶה,mone,מ - נ - ה,"meter, gauge, counter; numerator (mathematics)","Noun –kotelpattern, masculine"
הִימָּנְעוּת,himan'ut,מ - נ - ע,abstention,"Noun –hikkatlutpattern, feminine"
מְנִיעָה,meni'a,מ - נ - ע,obstacle; prevention,"Noun –ktilapattern, feminine"
מִמְסָד,mimsad,מ - ס - ד,"establishment, ruling class","Noun –miktalpattern, masculine"
מִיסְחוּר,mischur,מ - ס - ח - ר,commercialisation,"Noun –kittulpattern, masculine"
מִיסּוּי,misuy,מ - ס - ה,taxation,"Noun –kittulpattern, masculine"
תְּמִיסָּה,tmisa,מ - ס - ס,solution (chemistry),"Noun –tkillapattern, feminine"
מַס,mas,מ - ס - ס,"tax, fee","Noun –ketelpattern, masculine"
מֶסֶר,meser,מ - ס - ר,"message; theme, topic","Noun –ketelpattern, masculine"
מְעִידָה,me'ida,מ - ע - ד,"stumble, trip; slip of the tongue, blunder","Noun –ktilapattern, feminine"
מִיעוּט,mi'ut,מ - ע - ט,minority,"Noun –kittulpattern, masculine"
מְעִיל,me'il,מ - ע - ל,"coat, cloak","Noun –ktilpattern, masculine"
מְעִילָה,me'ila,מ - ע - ל,"embezzlement, misappropriation, misuse","Noun –ktilapattern, feminine"
מַעַן,ma'an,מ - ע - ן,address,"Noun –ketelpattern, masculine"
מוֹפֵת,mofet,מ - פ - ת,"good example, role model; wonder, miracle","Noun –kotelpattern, masculine"
הִתְמַצְּאוּת,hitmatz'ut,מ - צ - א,"familiarity; orientation (in a topic, etc.)","Noun –hitkattlutpattern, feminine"
הִימָּצְאוּת,himatz'ut,מ - צ - א,"location; presence, being found","Noun –hikkatlutpattern, feminine"
הַמְצָאָה,hamtza'a,מ - צ - א,invention; fabrication,"Noun –haktalapattern, feminine"
מְצִיאָה,metzi'a,מ - צ - א,"finding, discovery; bargain, good deal (slang)","Noun –ktilapattern, feminine"
מִמְצָא,mimtza,מ - צ - א,finding; acquired data,"Noun –miktalpattern, masculine"
מִיצּוּב,mitzuv,מ - צ - ב,"positioning (marketing, business)","Noun –kittulpattern, masculine"
מֵצַח,metzach,מ - צ - ח,forehead,"Noun –ketelpattern, masculine"
תַּמְצִית,tamtzit,מ - צ - ה,"extract, concentrate; summary; abstract","Noun –taktitpattern, feminine"
מְצִיצָה,metzitza,מ - צ - ץ,"sucking, suction","Noun –ktilapattern, feminine"
מַצָּה,matza,מ - צ - ץ,"matzo, matzah","Noun –katlapattern, feminine"
מִיקּוּד,mikud,מ - ק - ד,focus,"Noun –kittulpattern, masculine"
מִיקּוּד,mikud,מ - ק - ד,postal code,"Noun –kittulpattern, masculine"
הִתְמַקְּחוּת,hitmakchut,מ - ק - ח,"bargaining, negotiation","Noun –hitkattlutpattern, feminine"
מִיקּוּם,mikum,מ - ק - ם,location,"Noun –kittulpattern, masculine"
מִקְסוּם,miksum,מ - ק - ס - ם,maximization,"Noun –kittulpattern, masculine"
מֶקֶק,mekek,מ - ק - ק,"rot, rotten material; gangrene","Noun –ketelpattern, masculine"
מִיקּוּר,mikur,מ - ק - ר,sourcing,"Noun –kittulpattern, masculine"
הַמְרָאָה,hamra'a,מ - ר - א,takeoff,"Noun –haktalapattern, feminine"
מֶרֶד,mered,מ - ר - ד,"revolt, uprising","Noun –ketelpattern, masculine"
מַרְדָן,mardan,מ - ר - ד,rebel,"Noun –katlanpattern, masculine"
מִמְרָח,mimrach,מ - ר - ח,"spread, paste (culinary)","Noun –miktalpattern, masculine"
הַמְרָצָה,hamratza,מ - ר - ץ,"stimulation, incentivising","Noun –haktalapattern, feminine"
מֶרֶץ,meretz,מ - ר - ץ,"energy, vigour, drive","Noun –ketelpattern, masculine"
תַּמְרִיץ,tamritz,מ - ר - ץ,"incentive, stimulus","Noun –taktilpattern, masculine"
תַּמְרוּק,tamruk,מ - ר - ק,"perfume, cosmetics","Noun –taktulpattern, masculine"
מָרָק,marak,מ - ר - ק,soup,"Noun –katalpattern, masculine"
מָרוֹר,maror,מ - ר - ר,"sow thistle, sonchus (plant); bitter herb eaten as part of the Passover seder; bitterness (figurative)","Noun –katolpattern, masculine"
מַשָּׂא,masa,מ - שׂ - א,"burden, load","Noun –miktalpattern, masculine"
מִשְׁחָה,mishcha,מ - שׁ - ח,"ointment, spread","Noun –kitlapattern, feminine"
מָשִׁיחַ,mashiach,מ - שׁ - ח,messiah,"Noun –katilpattern, masculine"
מֶשִׁי,meshi,מ - שׁ - ה,silk,"Noun –ketelpattern, masculine"
מְשִׁיכָה,meshicha,מ - שׁ - ך,"attraction (כוח המשיכה — force of gravity); pulling, traction; cash withdrawal","Noun –ktilapattern, feminine"
הֶמְשֵׁךְ,hemshech,מ - שׁ - ך,continuation,"Noun –hektelpattern, masculine"
מֶשֶׁךְ,meshech,מ - שׁ - ך,duration,"Noun –ketelpattern, masculine"
הִימָּשְׁכוּת,himashchut,מ - שׁ - ך,"attraction; duration, continuation","Noun –hikkatlutpattern, feminine"
מָשָׁל,mashal,מ - שׁ - ל,"example; parable, allegory; proverb","Noun –katalpattern, masculine"
מֶמְשֶׁלֶת,memshelet,מ - שׁ - ל,government,"Noun –mikteletpattern, feminine"
מוֹשֵׁל,moshel,מ - שׁ - ל,ruler; governor,"Noun –kotelpattern, masculine"
מֶמְשָׁלָה,memshala,מ - שׁ - ל,government,"Noun –miktalapattern, feminine"
מֶשֶׁק,meshek,מ - שׁ - ק,"farm, agricultural settlement; economy","Noun –ketelpattern, masculine"
מִמְשָׁק,mimshak,מ - שׁ - ק,interface (computing),"Noun –miktalpattern, masculine"
מִישּׁוּשׁ,mishush,מ - שׁ - שׁ,"feeling, touching; palpation","Noun –kittulpattern, masculine"
מָשׁוֹשׁ,mashosh,מ - שׁ - שׁ,"tentacle, antenna (insect)","Noun –katolpattern, masculine"
מֶתֶג,meteg,מ - ת - ג,switch (electricity),"Noun –ketelpattern, masculine"
מֶתַח,metach,מ - ת - ח,"tension, stretch; voltage","Noun –ketelpattern, masculine"
מֶתַח,metach,מ - ת - ח,horizontal bar (gymnastics),"Noun –ketelpattern, masculine"
מוֹתֶן,moten,מ - ת - ן,hip; waist; sirloin,"Noun –kotelpattern, masculine"
מַמְתָּק,mamtak,מ - ת - ק,"candy, sweet","Noun –maktalpattern, masculine"
מוֹתֶק,motek,מ - ת - ק,"sweetie, darling (coll.)","Noun –kotelpattern, masculine"
נְאוּם,ne'um,נ - א - ם,"speech, address","Noun –ktulpattern, masculine"
נִיאוּף,ni'uf,נ - א - ף,"adultery, fornication","Noun –kittulpattern, masculine"
נְאָקָה,ne'aka,נ - א - ק,"moan, groan (rare)","Noun –ktalapattern, feminine"
נְבוּאָה,nevu'a,נ - ב - א,prophesy,"Noun –ktulapattern, feminine"
נָבִיא,navi,נ - ב - א,prophet,"Noun –katilpattern, masculine"
נֶבֶג,neveg,נ - ב - ג,spore (biology),"Noun –ketelpattern, masculine"
נְבִיחָה,nevicha,נ - ב - ח,barking,"Noun –ktilapattern, feminine"
מַבָּט,mabat,נ - ב - ט,"look, sight, regard","Noun –miktalpattern, masculine"
הֶיבֵּט,hebet,נ - ב - ט,aspect,"Noun –hektelpattern, masculine"
נֶבֶל,nevel,נ - ב - ל,"harp, lyre","Noun –ketelpattern, masculine"
נִיבּוּל,nibul,נ - ב - ל,obscene language (in expression ניבול פה),"Noun –kittulpattern, masculine"
הַבָּעָה,haba'a,נ - ב - ע,expression; facial expression,"Noun –haktalapattern, feminine"
מַגֶּבֶת,magevet,נ - ג - ב,towel,"Noun –makteletpattern, feminine"
מַגֵּב,magev,נ - ג - ב,windshield wiper; squeegee,"Noun –maktelpattern, masculine"
נִיגּוּד,nigud,נ - ג - ד,"opposition, contradiction, contrast","Noun –kittulpattern, masculine"
נַגָּד,nagad,נ - ג - ד,resistor (electricity),"Noun –kattalpattern, masculine"
הִתְנַגְּדוּת,hitnagdut,נ - ג - ד,"resistance, opposition","Noun –hitkattlutpattern, feminine"
אַגָּדָה,agada,נ - ג - ד,"legend, fairy tale","Noun –aktalapattern, feminine"
הַגָּדָה,hagada,נ - ג - ד,"saga, legend, epic; the Passover Haggada","Noun –haktalapattern, feminine"
נָגִיד,nagid,נ - ג - ד,"ruler, leader","Noun –katilpattern, masculine"
נוֹגַהּ,noga(h),נ - ג - הּ,"glow, shine, brightness; Venus (the planet)","Noun –kotelpattern, masculine"
הַגָּהָה,hagaha,נ - ג - הּ,"proofreading, redacción","Noun –haktalapattern, feminine"
נִיגּוּחַ,niguach,נ - ג - ח,"goading, taunting; goring, ramming","Noun –kittulpattern, masculine"
נִיגּוּן,nigun,נ - ג - ן,"melody, tune; playing (music)","Noun –kittulpattern, masculine"
נַגָּן,nagan,נ - ג - ן,music player; musician,"Noun –kattalpattern, masculine"
נְגִינָה,negina,נ - ג - ן,"playing (music); stress, accentuation (grammar, rare)","Noun –ktilapattern, feminine"
מַגָּע,maga,נ - ג - ע,contact,"Noun –miktalpattern, masculine"
נֶגַע,nega,נ - ג - ע,"affliction, scourge","Noun –ketelpattern, masculine"
הַגָּעָה,haga'a,נ - ג - ע,arrival,"Noun –haktalapattern, feminine"
נֶגֶף,negef,נ - ג - ף,"obstacle, hindrance","Noun –ketelpattern, masculine"
נְגִיף,negif,נ - ג - ף,virus,"Noun –ktilpattern, masculine"
נַגָּר,nagar,נ - ג - ר,"carpenter, cabinet-maker, woodworker","Noun –kattalpattern, masculine"
הִתְנַגְּשׁוּת,hitnagshut,נ - ג - שׁ,collision; contradiction,"Noun –hitkattlutpattern, feminine"
הַגָּשָׁה,hagasha,נ - ג - שׁ,"handing over, presenting, delivering, service, service, dishing out, distribution (food, drink); handing over, giving someone something; serving (food, drink), dishing out; submitting, submission, handing in (report, paper etc.), handing over; preparing someone (for a test, exam); presenting, delivering","Noun –haktalapattern, feminine"
גִּישָׁה,gisha,נ - ג - שׁ,"access, approach; attitude, course, manner","Noun –ktilapattern, feminine"
מַגָּשׁ,magash,נ - ג - שׁ,tray,"Noun –miktalpattern, masculine"
נְדָבָה,nedava,נ - ד - ב,"donation, contribution","Noun –ktalapattern, feminine"
הִתְנַדְּבוּת,hitnadvut,נ - ד - ב,volunteering,"Noun –hitkattlutpattern, feminine"
הַדָּחָה,hadacha,נ - ד - ח,"dismissal, removal; seduction","Noun –haktalapattern, feminine"
מַדָּף,madaf,נ - ד - ף,"shelf, ledge","Noun –miktalpattern, masculine"
נֶדֶר,neder,נ - ד - ר,"vow, promise","Noun –ketelpattern, masculine"
הִתְנַהֲגוּת,hitnahagut,נ - ה - ג,"behaviour, conduct","Noun –hitkattlutpattern, feminine"
נֶהָג,nehag,נ - ה - ג,"driver ׁ(of a car, etc.)","Noun –kattalpattern, masculine"
נְהִיגָה,nehiga,נ - ה - ג,driving (a car),"Noun –ktilapattern, feminine"
מִנְהָג,minhag,נ - ה - ג,"custom, tradition","Noun –miktalpattern, masculine"
מַנְהִיג,manhig,נ - ה - ג,"leader, chief","Noun –maktilpattern, masculine"
הִתְנַהֲלוּת,hitnahalut,נ - ה - ל,"conduct, behaviour","Noun –hitkattlutpattern, feminine"
מִנְהָל,minhal,נ - ה - ל,"management, administration","Noun –miktalpattern, masculine"
מְנַהֵל,menahel,נ - ה - ל,"manager, principal, director","Noun –mekattelpattern, masculine"
נוֹהַל,nohal,נ - ה - ל,"procedure, established practice","Noun –kotelpattern, masculine"
נִיהוּל,nihul,נ - ה - ל,"management, administration","Noun –kittulpattern, masculine"
הַנְהָלָה,hanhala,נ - ה - ל,"management, administration","Noun –haktalapattern, feminine"
נְהִימָה,nehima,נ - ה - ם,"growl, roar (lit.)","Noun –ktilapattern, feminine"
נָהָר,nahar,נ - ה - ר,river,"Noun –katalpattern, masculine"
מִנְהָרָה,minhara,נ - ה - ר,tunnel,"Noun –miktalapattern, feminine"
תְּנוּבָה,tnuva,נ - ו - ב,"crop, produce; yield, output","Noun –tkulapattern, feminine"
נַווָּד,navad,נ - ו - ד,"nomad, wanderer, vagabond","Noun –kattalpattern, masculine"
תְּנוּדָה,tnuda,נ - ו - ד,"fluctuation, oscillation","Noun –tkulapattern, feminine"
נוֹדּ,nod,נ - ו - ד,"wanderings, vagabondage, journey (lit.); migratory (used in smichut)","Noun –ketelpattern, masculine"
תְּנוּחָה,tnucha,נ - ו - ח,"position, pose, posture","Noun –tkulapattern, feminine"
מְנוּחָה,menucha,נ - ו - ח,"rest, calm, serenity; (in plural) funeral","Noun –mekulapattern, feminine"
הֲנָחָה,hanacha,נ - ו - ח,"discount, concession","Noun –haktalapattern, feminine"
נַווָּט,navat,נ - ו - ט,navigator,"Noun –kattalpattern, masculine"
נָווֶה,nave,נ - ו - ה,"abode, house, home","Noun –katelpattern, masculine"
תְּנוּמָה,tnuma,נ - ו - ם,"nap, sleep","Noun –tkulapattern, feminine"
מָנוֹס,manos,נ - ו - ס,"refuge, escape (lit.)","Noun –miktalpattern, masculine"
תְּנוּעָה,tnu'a,נ - ו - ע,"movement, motion; traffic; organization, party; vowel","Noun –tkulapattern, feminine"
מָנוֹעַ,manoa,נ - ו - ע,"engine, motor","Noun –miktalpattern, masculine"
מָנוֹף,manof,נ - ו - ף,"crane (construction, logistics); lever","Noun –miktalpattern, masculine"
מְנִיפָה,menifa,נ - ו - ף,fan (hand-held),"Noun –mekilapattern, feminine"
תְּנוּפָה,tnufa,נ - ו - ף,"momentum; drive, movement, push","Noun –tkulapattern, feminine"
נַזֶּלֶת,nazelet,נ - ז - ל,runny nose,"Noun –katteletpattern, feminine"
נוֹזֵל,nozel,נ - ז - ל,"liquid, fluid","Noun –kotelpattern, masculine"
נִיזּוּם,nizum,נ - ז - ם,body piercing,"Noun –kittulpattern, masculine"
נֶזֶם,nezem,נ - ז - ם,nose ring,"Noun –ketelpattern, masculine"
נְזִיפָה,nezifa,נ - ז - ף,"reproach, rebuke","Noun –ktilapattern, feminine"
נֶזֶק,nezek,נ - ז - ק,"damage, harm","Noun –ketelpattern, masculine"
נֵזֶר,nezer,נ - ז - ר,"crown, wreath","Noun –ketelpattern, masculine"
נָזִיר,nazir,נ - ז - ר,"monk, hermit","Noun –katilpattern, masculine"
מִנְזָר,minzar,נ - ז - ר,"monastery, abbey, convent","Noun –miktalpattern, masculine"
הַנְחָיָה,hanchaya,נ - ח - ה,"guidance, instruction","Noun –haktalapattern, feminine"
הִתְנַחֲלוּת,hitnachalut,נ - ח - ל,"settlement, settling, inhabiting","Noun –hitkattlutpattern, feminine"
נְחִיל,nechil,נ - ח - ל,"swarm (of insects); a lot, multitude (figurative)","Noun –ktilpattern, masculine"
נַחֲלָה,nachala,נ - ח - ל,"domain, estate; legacy, inheritance","Noun –katlapattern, feminine"
נַחַל,nachal,נ - ח - ל,"stream, brook","Noun –ketelpattern, masculine"
נֶחָמָה,nechama,נ - ח - ם,"consolation, comfort","Noun –kattalapattern, feminine"
נְחִיר,nechir,נ - ח - ר,"nostril; nozzle, exhaust","Noun –ktilpattern, masculine"
נְחוֹשֶׁת,nechoshet,נ - ח - שׁ,copper,"Noun –ktoletpattern, feminine"
נָחָשׁ,nachash,נ - ח - שׁ,"snake, serpent","Noun –katalpattern, masculine"
נֶחָת,nechat,נ - ח - ת,marine (military),"Noun –kattalpattern, masculine"
נְחִיתָה,nechita,נ - ח - ת,"landing, touchdown (aircraft)","Noun –ktilapattern, feminine"
מִיטָּה,mita,נ - ט - ה,bed,"Noun –miktalpattern, feminine"
מַטֶּה,mate,נ - ט - ה,"rod, staff, baton; headquarters; staff (administration); tribe (biblical)","Noun –maktelpattern, masculine"
נְטִייָּה,netiya,נ - ט - ה,"tendency, trend; leaning (ideological); inflection, declension, conjugation (grammar)","Noun –ktilapattern, feminine"
מַטָּלָה,matala,נ - ט - ל,"task, mission, assignment","Noun –miktalapattern, feminine"
נְטִילָה,netila,נ - ט - ל,"taking, receiving, obtaining, accepting","Noun –ktilapattern, feminine"
נֵטֶל,netel,נ - ט - ל,"burden, load; ballast","Noun –ketelpattern, masculine"
נְטִיעָה,neti'a,נ - ט - ע,planting (trees); sapling,"Noun –ktilapattern, feminine"
מַטָּע,mata,נ - ט - ע,"plantation; grove, orchard","Noun –miktalpattern, masculine"
נָטִיף,natif,נ - ט - ף,stalactite,"Noun –katilpattern, masculine"
הַטָּפָה,hatafa,נ - ט - ף,"preaching, exhortation","Noun –haktalapattern, feminine"
נֵטֶף,netef,נ - ט - ף,💧 drop (lit.),"Noun –ketelpattern, masculine"
נִיטּוּר,nitur,נ - ט - ר,monitoring,"Noun –kittulpattern, masculine"
מַטָּרָה,matara,נ - ט - ר,"target, objective","Noun –miktalapattern, feminine"
נַייָּד,nayad,נ - י - ד,mobile phone (coll.),"Noun –kattalpattern, masculine"
נַייֶּדֶת,nayedet,נ - י - ד,"mobile unit (e.g. police patrol, ambulance)","Noun –katteletpattern, feminine"
נֶכֶד,neched,נ - כ - ד,grandson,"Noun –ketelpattern, masculine"
נֶכְדָּה,nechda,נ - כ - ד,granddaughter,"Noun –kitlapattern, feminine"
נָכֶה,nache,נ - כ - ה,"disabled person, handicapped person","Noun –katelpattern, masculine"
נָכוּת,nachut,נ - כ - ה,"disability, handicap","Noun –katutpattern, feminine"
מַכָּה,maka,נ - כ - ה,"hit, strike","Noun –miktalpattern, feminine"
נִיכּוּי,nikuy,נ - כ - ה,"deduction (from salary, etc.)","Noun –kittulpattern, masculine"
נוֹכֵל,nochel,נ - כ - ל,"swindler, con man","Noun –kotelpattern, masculine"
נֶכֶס,neches,נ - כ - ס,"asset, property","Noun –ketelpattern, masculine"
נִיכּוּר,nikur,נ - כ - ר,"alienation, foreignness, detachedness","Noun –kittulpattern, masculine"
הַכָּרָה,hakara,נ - כ - ר,consciousness; acquaintance; recognition,"Noun –haktalapattern, feminine"
נַר,nar,נ - כ - ר,acquaintance,"Noun –kalpattern, masculine"
הֶיכֵּר,heker,נ - כ - ר,"characteristic, distinguishing feature, hallmark","Noun –hektelpattern, masculine"
מַכּוֹשׁ,makosh,נ - כ - שׁ,"pick-axe, hoe","Noun –miktolpattern, masculine"
הַנְמָכָה,hanmacha,נ - מ - ך,lowering; quietening,"Noun –haktalapattern, feminine"
נְמָלָה,nemala,נ - מ - ל,🐜 ant,"Noun –ktalapattern, feminine"
נִימּוּל,nimul,נ - מ - ל,"tingling, numbness, paresthesia","Noun –kittulpattern, masculine"
נָמֵל,namel,נ - מ - ל,"port, harbour","Noun –katelpattern, masculine"
נִימְנוּם,nimnum,נ - מ - נ - ם,nap,"Noun –kittulpattern, masculine"
נִימּוּס,nimus,נ - מ - ס,"politeness, courtesy","Noun –kittulpattern, masculine"
נִימּוּק,nimuk,נ - מ - ק,"explanation, justification, reason","Noun –kittulpattern, masculine"
נָמֵר,namer,נ - מ - ר,🐆 leopard,"Noun –katelpattern, masculine"
נֶמֶשׁ,nemesh,נ - מ - שׁ,freckle,"Noun –ketelpattern, masculine"
נְסִיגָה,nesiga,נ - ס - ג,"withdrawal, retreat","Noun –ktilapattern, feminine"
הִתְנַסְּחוּת,hitnaschut,נ - ס - ח,"wording, formulation","Noun –hitkattlutpattern, feminine"
נוּסְחָה,nuscha,נ - ס - ח,formula,"Noun –kutlapattern, feminine"
הַסָּחָה,hasacha,נ - ס - ח,"removal; turning aside, deflection, deviation, detraction","Noun –haktalapattern, feminine"
הִתְנַסּוּת,hitnasut,נ - ס - ה,experience,"Noun –hitkattlutpattern, feminine"
נִיסּוּי,nisuy,נ - ס - ה,"experiment, trial","Noun –kittulpattern, masculine"
נִיסָּיוֹן,nisayon,נ - ס - ה,experience; attempt,"Noun –kittalonpattern, masculine"
נָסִיךְ,nasich,נ - ס - ך,prince; jack (cards),"Noun –katilpattern, masculine"
נֵס,nes,נ - ס - ס,"miracle, wonder","Noun –ketelpattern, masculine"
נְסִיעָה,nesi'a,נ - ס - ע,"journey, trip, ride","Noun –ktilapattern, feminine"
מַסָּע,masa,נ - ס - ע,"journey, trip","Noun –miktalpattern, masculine"
הַסָּעָה,hasa'a,נ - ס - ע,"ride, transportation; convection (physics)","Noun –haktalapattern, feminine"
נוֹסֵעַ,nosea,נ - ס - ע,"passenger, traveller","Noun –kotelpattern, masculine"
מַסּוֹק,masok,נ - ס - ק,helicopter,"Noun –miktolpattern, masculine"
הַסָּקָה,hasaka,נ - ס - ק,heating,"Noun –haktalapattern, feminine"
נְסוֹרֶת,nesoret,נ - ס - ר,sawdust,"Noun –ktoletpattern, feminine"
מַסּוֹר,masor,נ - ס - ר,saw (tool),"Noun –miktolpattern, masculine"
מִנְסָרָה,minsara,נ - ס - ר,sawmill,"Noun –miktalapattern, feminine"
מִנְסָרָה,minsara,נ - ס - ר,prism,"Noun –miktalapattern, feminine"
מִנְעָד,min'ad,נ - ע - ד,"range, spectrum, diapason","Noun –miktalpattern, masculine"
תִּנְעוֹלֶת,tin'olet,נ - ע - ל,"footwear, shoes (rare)","Noun –tiktoletpattern, feminine"
נַעַל,na'al,נ - ע - ל,shoe,"Noun –ketelpattern, feminine"
נְעִילָה,ne'ila,נ - ע - ל,"closing, locking; neilah (Yom Kippur service)","Noun –ktilapattern, feminine"
נְעִימָה,ne'ima,נ - ע - ם,"melody, tune","Noun –ktilapattern, feminine"
נְעוּרִים,ne'urim,נ - ע - ר,"youth, adolescence","Noun –ktulpattern, masculine, plural"
נַעַר,na'ar,נ - ע - ר,"youth, young person","Noun –ketelpattern, masculine"
נַעֲרָה,na'ara,נ - ע - ר,"girl, young woman","Noun –katlapattern, feminine"
נוֹעַר,no'ar,נ - ע - ר,"youth, teenagers","Noun –kotelpattern, masculine"
נַפָּח,napach,נ - פ - ח,"blacksmith, smith","Noun –kattalpattern, masculine"
תַּפּוּחַ,tapuach,נ - פ - ח,🍎 apple,"Noun –taktulpattern, masculine"
נֶפַח,nefach,נ - פ - ח,volume; capacity,"Noun –ketelpattern, masculine"
הַפָּלָה,hapala,נ - פ - ל,abortion,"Noun –haktalapattern, feminine"
נְפִילָה,nefila,נ - פ - ל,"fall, tumble, drop, collapse","Noun –ktilapattern, feminine"
מַפָּל,mapal,נ - פ - ל,waterfall,"Noun –miktalpattern, masculine"
נִיפְנוּף,nifnuf,נ - פ - נ - ף,"waving, flutter","Noun –kittulpattern, masculine"
נִיפּוּץ,niputz,נ - פ - ץ,"smashing, scattering; explosion","Noun –kittulpattern, masculine"
נַפָּץ,napatz,נ - פ - ץ,denotator,"Noun –kattalpattern, masculine"
מַפָּץ,mapatz,נ - פ - ץ,"bang, explosion","Noun –miktalpattern, masculine"
נֶפֶשׁ,nefesh,נ - פ - שׁ,soul,"Noun –ketelpattern, feminine"
נְצִיב,netziv,נ - צ - ב,"governor, commissioner","Noun –ktilpattern, masculine"
נָצִיג,natzig,נ - צ - ג,"representative, delegate","Noun –katilpattern, masculine"
נִיצָּחוֹן,nitzachon,נ - צ - ח,victory,"Noun –kittalonpattern, masculine"
הַנְצָחָה,hantzacha,נ - צ - ח,"memorialization, immortalization","Noun –haktalapattern, feminine"
נִיצּוּחַ,nitzuach,נ - צ - ח,conducting (music),"Noun –kittulpattern, masculine"
מְנַצֵּחַ,menatzeach,נ - צ - ח,"conductor (music); champion, winner","Noun –mekattelpattern, masculine"
נֶצַח,netzach,נ - צ - ח,eternity (in expressions),"Noun –ketelpattern, masculine"
הַצָּלָה,hatzala,נ - צ - ל,rescue,"Noun –haktalapattern, feminine"
נִיצּוּל,nitzul,נ - צ - ל,"utilisation, usage","Noun –kittulpattern, masculine"
נַצְלָן,natzlan,נ - צ - ל,exploiter,"Noun –katlanpattern, masculine"
הִתְנַצְּלוּת,hitnatzlut,נ - צ - ל,apology,"Noun –hitkattlutpattern, feminine"
נִיצּוֹלֶת,nitzolet,נ - צ - ל,utilisation; efficiency ratio,"Noun –kittoletpattern, feminine"
הִינָּצְלוּת,hinatzlut,נ - צ - ל,"survival, being saved, being rescued","Noun –hikkatlutpattern, feminine"
נִצְנוּץ,nitznutz,נ - צ - נ - ץ,"sparkle, twinkle, gleam; phosphorescence (physics)","Noun –kittulpattern, masculine"
הִתְנַצְּרוּת,hitnatzrut,נ - צ - ר,"baptism, conversion to Christianity","Noun –hitkattlutpattern, feminine"
נַצְרוּת,natzrut,נ - צ - ר,Christianity,"Noun –katlutpattern, feminine"
נֵצֶר,netzer,נ - צ - ר,"stem, shoot; scion (lit.)","Noun –ketelpattern, masculine"
נְקֵבָה,nekeva,נ - ק - ב,female,"Noun –ktelapattern, feminine"
מַנְקֵב,mankev,נ - ק - ב,"punch, perforator","Noun –maktelpattern, masculine"
נִיקּוּד,nikud,נ - ק - ד,"vowelling, vocalization, niqqud (system of vowels in Hebrew)","Noun –kittulpattern, masculine"
נְקוּדָּה,nekuda,נ - ק - ד,"point, dot; issue, item","Noun –ktullapattern, feminine"
נִיקּוּז,nikuz,נ - ק - ז,drainage,"Noun –kittulpattern, masculine"
נִיקּוּי,nikuy,נ - ק - ה,cleaning,"Noun –kittulpattern, masculine"
נִיקָּיוֹן,nikayon,נ - ק - ה,cleaning; tidiness,"Noun –kittalonpattern, masculine"
מְנַקֶּה,menake,נ - ק - ה,"cleaner, janitor","Noun –mekattelpattern, masculine"
מַקֵּל,makel,נ - ק - ל,"stick, cane","Noun –maktelpattern, masculine"
נְקָמָה,nekama,נ - ק - ם,"revenge, vengeance, retaliation","Noun –ktalapattern, feminine"
מַקָּף,makaf,נ - ק - ף,hyphen,"Noun –miktalpattern, masculine"
הֶיקֵּף,hekef,נ - ק - ף,"perimeter, circumference; extent, scope","Noun –hektelpattern, masculine"
נָקִיק,nakik,נ - ק - ק,"crevice, cranny","Noun –katilpattern, masculine"
מַקּוֹר,makor,נ - ק - ר,"beak, bill, roster (of a bird)","Noun –miktolpattern, masculine"
נַקָּר,nakar,נ - ק - ר,woodpecker,"Noun –kattalpattern, masculine"
הִתְנַקְּשׁוּת,hitnakshut,נ - ק - שׁ,"assassination, attack","Noun –hitkattlutpattern, feminine"
מַקָּשׁ,makash,נ - ק - שׁ,key (on a keyboard),"Noun –miktalpattern, masculine"
נִישּׂוּאִין,nisu'in,נ - שׂ - א,marriage,"Noun –kittulpattern, masculine"
